1 15 DPWeight 1777 10050 45.334295 111110111111011
2 15 DPWeight 1752 13380 34.18698 111111111101011
3 15 DPWeight 1523 7665 21.32481 011111110111111
4 15 DPWeight 1716 11175 34.640532 110110111111111
5 15 DPWeight 1861 10710 66.562188 110111111111101
6 15 DPWeight 2285 10020 29.245587 011111111110111
7 15 DPWeight 1868 11880 42.063778 111111011111101
8 15 DPWeight 1948 13860 45.783471 011111111111110
9 15 DPWeight 1812 10830 30.523637 101111101111011
10 15 DPWeight 2053 8040 27.89797 110111111111011
11 15 DPWeight 1258 8685 34.800303 110110111110101
12 15 DPWeight 1947 11880 39.897397 111011110110111
13 15 DPWeight 1488 14730 66.988986 111111111111001
14 15 DPWeight 1933 5910 10.684646 111111111011011
15 15 DPWeight 1519 13830 25.505296 101101111011011
16 15 DPWeight 1819 13020 23.461819 111111111111101
17 15 DPWeight 1995 11385 21.086827 111100111111111
18 15 DPWeight 2249 8490 19.076274 101111111101111
19 15 DPWeight 1961 15165 27.83555 111111110111011
20 15 DPWeight 1863 10350 18.917068 111111111111101
21 15 DPWeight 2217 14685 35.406761 111111101011111
22 15 DPWeight 1366 14580 26.824592 111110111110110
23 15 DPWeight 2133 14625 27.463828 010111111111111
24 15 DPWeight 2029 11220 20.230599 100111011111011
25 15 DPWeight 1300 10530 19.562133 011110111111110
26 15 DPWeight 1773 11520 24.341219 111110111110101
27 15 DPWeight 2173 15450 28.11649 011011111101111
28 15 DPWeight 2011 14175 25.797887 111111001011111
29 15 DPWeight 1879 13080 25.963779 110011111111111
30 15 DPWeight 1865 15540 31.026052 011111110111101
31 15 DPWeight 1934 13635 24.414882 111011111111011
32 15 DPWeight 1173 12465 23.185027 111111110101111
33 15 DPWeight 1902 12315 22.461683 111101111110111
34 15 DPWeight 1930 9795 19.837362 111111110111011
35 15 DPWeight 1567 12000 22.050266 111110111110111
36 15 DPWeight 1858 14625 26.919387 111111111001110
37 15 DPWeight 1921 14775 27.131838 111111111101110
38 15 DPWeight 1848 10230 22.268474 111111111101011
39 15 DPWeight 1824 12075 21.688403 111111101110111
40 15 DPWeight 1788 17865 32.721209 111111011111011
41 15 DPWeight 1941 12555 23.018609 111111101110111
42 15 DPWeight 1680 9120 16.834797 111110111111111
43 15 DPWeight 1506 13305 28.805497 010111111101111
44 15 DPWeight 2647 9435 18.068057 111111101011111
45 15 DPWeight 1824 9780 18.411158 111111111010011
46 15 DPWeight 1456 12450 23.244812 110111011110110
47 15 DPWeight 1436 9960 22.34756 111111111010111
48 15 DPWeight 1792 12315 22.701125 111111111100111
49 15 DPWeight 1760 12900 24.22 111111101111101
50 15 DPWeight 1763 9915 18.752545 110111111111011
51 15 DPWeight 2063 13080 24.09342 111111101101111
52 15 DPWeight 1591 12420 27.805704 011111111111111
53 15 DPWeight 2005 16080 29.940567 111111100111111
54 15 DPWeight 1989 8145 15.379736 110111111011101
55 15 DPWeight 1755 11880 25.458058 110111101111111
56 15 DPWeight 1763 13995 26.8556 111011101111111
57 15 DPWeight 1856 8895 16.490546 101111111100111
58 15 DPWeight 1548 11580 21.605385 011111111101111
59 15 DPWeight 1985 11280 25.628756 111010111111011
60 15 DPWeight 1957 10320 25.307471 110111111111111
61 15 DPWeight 2064 5880 10.951306 111111111011111
62 15 DPWeight 1412 12900 26.578387 010111111111111
63 15 DPWeight 2318 10440 19.692891 101111111111101
64 15 DPWeight 1896 9675 18.573255 111111011111111
65 15 DPWeight 1685 11055 24.17516 111101111111111
66 15 DPWeight 1928 11850 22.213406 011111111011011
67 15 DPWeight 1590 9180 16.912343 111110111011111
68 15 DPWeight 1702 13815 26.110457 111111111111000
69 15 DPWeight 1335 14130 25.903757 111101111011111
70 15 DPWeight 1401 12855 27.409459 111011111111110
71 15 DPWeight 1218 12255 23.064558 111110011111111
72 15 DPWeight 1625 12570 23.244541 111101111111010
73 15 DPWeight 1816 12690 24.86757 111111111111100
74 15 DPWeight 1913 12465 24.451509 111111110111110
75 15 DPWeight 1766 11700 21.931013 110111111111110
76 15 DPWeight 2325 9720 18.207748 111111111000111
77 15 DPWeight 1980 14985 28.186972 111111111110110
78 15 DPWeight 1692 15435 32.709009 111110011111111
79 15 DPWeight 1481 12120 22.878988 111011100111111
80 15 DPWeight 1825 15105 27.8783 111110110111111
81 15 DPWeight 1563 17070 35.080556 111111110101111
82 15 DPWeight 1956 10065 18.701284 011101111101111
83 15 DPWeight 1884 13725 25.776225 110101111111111
84 15 DPWeight 1993 8820 16.408151 111111111110101
85 15 DPWeight 1901 12870 24.125191 101111111011110
86 15 DPWeight 1531 15780 31.78976 111111010111111
87 15 DPWeight 1455 10320 19.400181 111110111111101
