uf20-082 37 0 -1 -2 -3 -4 5 6 7 8 -9 10 11 12 -13 14 -15 16 -17 18 -19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 31565.5684310041
uf20-0516 45 0 1 2 -3 4 -5 -6 7 -8 9 -10 11 -12 13 14 15 16 17 18 -19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29084.6889500099
uf20-0246 42 0 1 2 -3 4 5 6 7 8 9 -10 11 -12 -13 -14 -15 16 -17 18 -19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28984.466925991
uf20-0729 39 0 -1 2 -3 4 5 -6 7 8 -9 10 11 12 13 -14 -15 -16 -17 18 19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28779.5406500081
uf20-0114 38 0 1 -2 -3 -4 -5 6 -7 -8 -9 -10 -11 12 13 14 -15 16 17 -18 19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29963.6072879948
uf20-0102 58 0 -1 2 3 4 -5 -6 7 8 9 10 -11 -12 13 14 15 16 17 18 19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29829.199810003
uf20-0353 56 0 1 2 3 -4 -5 6 -7 -8 9 10 -11 -12 13 14 -15 -16 -17 18 19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28886.7820949963
uf20-0952 20 0 -1 -2 -3 4 -5 6 7 -8 -9 10 11 -12 13 -14 -15 16 -17 -18 -19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29052.5108790025
uf20-0140 58 0 -1 2 3 -4 -5 -6 7 8 9 -10 11 -12 -13 14 -15 16 17 -18 19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29178.4546900017
uf20-0713 24 0 -1 2 -3 -4 5 6 -7 8 -9 -10 11 12 13 -14 15 16 -17 -18 19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28918.1922270072
uf20-0457 45 0 1 -2 3 4 -5 6 -7 8 -9 -10 -11 12 13 14 -15 -16 -17 -18 -19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28733.0779600015
uf20-018 30 0 -1 2 -3 -4 5 6 7 -8 -9 -10 11 -12 -13 -14 -15 16 -17 18 19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29265.5263719935
uf20-0759 51 0 -1 -2 3 4 5 -6 7 -8 9 -10 11 12 -13 -14 -15 16 17 18 -19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28992.2505630093
uf20-0863 53 0 -1 2 -3 -4 5 6 -7 -8 9 -10 -11 12 13 14 -15 -16 -17 18 19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29139.8124990083
uf20-0473 45 0 -1 -2 3 4 -5 -6 -7 8 9 10 11 12 13 -14 15 16 17 18 -19 0 20 88 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29712.820005996
