uf20-0930 16099 0 -1 -2 3 -4 5 6 7 -8 9 -10 -11 12 13 -14 15 16 17 18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27473.2473899785
uf20-0600 41721 0 -1 -2 -3 -4 5 -6 7 -8 9 -10 11 -12 13 14 15 16 17 -18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29393.9269350085
uf20-0784 13115 0 1 2 -3 4 5 -6 -7 8 -9 -10 11 12 13 14 -15 -16 17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29702.9277709953
uf20-0651 45536 0 -1 -2 -3 4 -5 6 -7 -8 -9 10 -11 -12 13 -14 15 -16 -17 18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29183.1814040197
uf20-0961 10497 0 1 -2 3 4 -5 6 7 -8 -9 10 -11 12 13 14 -15 16 17 -18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27831.8857510167
uf20-0190 23918 0 -1 2 -3 4 5 -6 -7 -8 9 -10 11 -12 -13 14 15 -16 -17 18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28720.2146170021
uf20-0163 30490 0 -1 2 -3 4 5 -6 -7 8 -9 10 11 12 -13 14 -15 16 17 18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29483.1325849809
uf20-0777 18430 0 1 2 -3 4 5 -6 7 8 9 -10 11 -12 -13 -14 15 -16 -17 18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29534.9412730138
uf20-0847 11624 0 1 2 3 4 -5 6 -7 -8 -9 -10 11 -12 13 -14 -15 -16 -17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27218.0301510089
uf20-0992 7143 0 1 2 -3 4 5 -6 7 8 9 -10 11 -12 -13 -14 -15 16 -17 -18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 32817.9295949813
uf20-0132 18305 0 -1 -2 3 4 -5 6 -7 -8 -9 10 11 -12 13 14 -15 -16 17 -18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 31415.4480450088
uf20-0816 13867 0 -1 -2 3 4 -5 6 7 8 -9 -10 -11 12 -13 14 15 -16 17 18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28929.2852270009
uf20-0726 14907 0 1 -2 3 -4 5 -6 -7 8 -9 10 11 -12 13 -14 15 16 -17 18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28234.8389579856
uf20-093 13984 0 1 -2 -3 4 5 -6 -7 -8 -9 10 11 -12 13 14 15 -16 17 18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27114.2399770033
uf20-060 93611 0 1 -2 3 4 5 -6 -7 8 9 10 11 12 13 -14 15 16 17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 28721.8372990028
uf20-0209 21514 0 -1 -2 -3 4 -5 -6 7 -8 9 -10 11 -12 -13 -14 15 -16 -17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27386.1337560229
uf20-0599 50940 0 1 -2 -3 4 5 6 -7 -8 9 -10 11 -12 13 14 15 16 -17 -18 19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 29353.6027839873
uf20-031 19638 0 -1 2 -3 4 -5 6 -7 -8 9 10 11 -12 13 14 -15 16 -17 18 -19 0 20 78 SA_SAT_V1 1000.0 0.5 0.9995 55 835945 27423.0276909948
